ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a608,indicator chip very fast movement 0.25a 125v smd solder pad 1206 epoxy tr csa electric indicator very fast blow 0.25a 125vac 125vdc 50a ir surface mount,very fast,rated breaking capacity at 125 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.25a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.001j,high,125v,125v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.25a,,125v,125v,"['A707', 'A756', 'A931', 'A932', 'A933']"
a609,indicator electric indicator very fast blow 0.375a 125vac  50a ir surface mount,,rated breaking capacity at 125 vdc: 50 a,,very fast,1.52mm,0.58mm,3.18mm,,,,e0,0.0028j,high,,,,,surface mount,,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,,50a,0.375a,,125v,125v,"['A814', 'A646', 'A686', 'A942', 'A943']"
a610,indicator very fast movement 0.375a surface mount 3.18 x 1.52 x 0.58mm epoxy electric indicator 3.18 x 1.52 x 0.58mm,very fast,,battery packcell phonedigital cameradvd playerhard disk drive,,,,,0.375a,epoxy,3.18 x 1.52 x 0.58mm,,,,125v,125v,,surface mount,,2.0,,,,,,3.18mm,,,,,,"['A587', 'A605', 'A600', 'A566', 'A549']"
a611,indicator chip very fast movement 0.375a 125v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.375a 125vac 125vdc 50a ir surface mount,very fast,rated breaking capacity at 125 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.375a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.0028j,high,125v,125v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.375a,,125v,125v,"['A708', 'A815', 'A942', 'A943', 'A944']"
a612,indicator chip very fast movement 0.5a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.5a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.5a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.006j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.5a,,63v,63v,"['A596', 'A597', 'A701', 'A709', 'A757']"
a613,indicator chip very fast movement 0.6a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.6a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.6a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.0131j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.6a,,63v,63v,"['A612', 'A596', 'A588', 'A585', 'A597']"
a614,indicator chip very fast movement 0.75a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.75a 63vac 63vdc 50a ir surface mount 1206,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.75a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.017j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.75a,63v,63v,63v,"['A603', 'A706', 'A710', 'A759', 'A561']"
a615,indicator chip very fast movement 0.8a 63v smd solder pad 1206 epoxy tr csaul electric indicator very fast blow 0.8a 63vac 63vdc 50a ir surface mount,very fast,rated breaking capacity at 63 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,1.52mm,0.58mm,3.18mm,0.8a,epoxy,3.18 x 1.52 x 0.58mm,e0,0.0305j,high,63v,63v,,surface mount,surface mount,2.0,90cel,-55cel,3.18mm  x  1.52mm  x  0.58mm,,,3.18mm,50a,0.8a,,63v,63v,"['A612', 'A596', 'A588', 'A585', 'A597']"
a616,indicator electric indicator very fast blow 1a 32vac  50a ir surface mount,,rated breaking capacity at 32 vdc: 50 a,,very fast,0.81mm,0.31mm,1.6mm,,,,e0,0.021j,high,,,,,surface mount,,90cel,-55cel,1.6mm  x  0.81mm  x  0.31mm,,,,50a,1a,,32v,32v,"['A821', 'A589', 'A617', 'A646', 'A628']"
a617,indicator chip very fast movement 1a 32v smd solder pad 0603 epoxy tr csaul electric indicator very fast blow 1a 32vac 32vdc 50a ir surface mount,very fast,rated breaking capacity at 32 vdc: 50 a,battery packcell phonedigital cameradvd playerhard disk drive,very fast,0.81mm,0.31mm,1.6mm,1a,epoxy,1.6 x 0.81 x 0.31mm,e3,0.0212j,high,32v,32v,,surface mount,surface mount,2.0,90cel,-55cel,1.6mm  x  0.81mm  x  0.31mm,,,1.6mm,50a,1a,,32v,32v,"['A618', 'A659', 'A629', 'A634', 'A636']"
